,Drenaje,variedad,tratSemilla,tipLab,ano,deshierbe,escarda,rastraprebarbecho,subsoleocinceleopiqueoescarificado,barbecho,rastreo,nivelacion,trazosurci,reformacioncamassurcos,monocultivo,preparacionsueloherbicida,fertilizacionquimicasuelo,fertilizacionquimicafoliar,usobiofertilizantes,usomejoradores,controlquimicomalezasdespuessiembra,insecticida,fungicida,CE,n,p,k,Arcillapr,Limoprc,Arenaprc,PH,MO,CIC,SBprc,TXAvg,TMAvg,TAvg,DRAvg,RSAvg,RSAccu,TX34Freq,PAccu,P10Freq,TM8Freq,RHAvg,RHsd,rendimiento
80246_1,D4,OTRAS,S1,LabCeroMin,2016,0,0,0,0,0,1,0,0,0,1,1,2,0,1,0,3,2,0,1,187.6653,0,0,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,30.93736842,19.39888889,25.16812865,11.53847953,449.2264912,76817.73,0,2.8,0,0,85.85602339,3.655242083,7
94278_1,D2,OTRAS,S0,AgrCons,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,1,101.68,0,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,30.95489247,19.07682796,25.01586022,11.87806452,447.6698387,83266.59,0,2.8,0,0,85.44317204,3.832182519,6.2
53520_1,D4,OTRAS,S0,LabConvTra,2015,0,0,0,0,0,1,0,0,0,1,1,2,0,1,0,2,1,0,1,147,23,0,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,30.8678077,19.50568729,25.18674749,11.36212041,426.8252822,69145.69572,0.018518519,598.59,0.135802469,0,81.15268238,4.657266545,2
74603_1,D2,OTRAS,S0,LabConvTra,2016,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,1,1,1,1,148.9,46,30,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,24.91085714,14.484,19.69742857,10.42685714,475.9483429,83290.96,0,561.1,0.085714286,0,82.87371429,4.986175305,3.2
74604_1,D2,OTRAS,S0,LabCeroMin,2016,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,1,1,1,1,148.9,46,30,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,24.91085714,14.484,19.69742857,10.42685714,475.9483429,83290.96,0,561.1,0.085714286,0,82.87371429,4.986175305,3.5
81785_2,D4,CLTHW11002,S1,AgrCons,2016,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,1,112.75,0,0,26,26,48,6.630189429,1.175022481,18.15067472,83.421327,30.728875,18.533375,24.631125,12.1955,438.4033125,70144.53,0.00625,2.6,0,0,85.080375,4.417190104,0.02
74327_1,D4,OTRAS,S1,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,2,0,1,76.75,0,48,17,27,56,6.5409375,1.639947917,14.93588542,58.11372396,31.30751724,19.79744828,25.55248276,11.51006897,460.2183448,66731.66,0,2.8,0,0,86.00324138,3.525871816,5.32
74328_1,D4,OTRAS,S1,AgrCons,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,2,2,0,1,87,46,0,17,27,56,6.5409375,1.639947917,14.93588542,58.11372396,31.29576389,19.79680556,25.54628472,11.49895833,459.8822917,66223.05,0,2.8,0,0,86.046875,3.498672969,6.09
74234_1,D4,CLTHW11002,S1,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,0,1,120.25,0,0,26,26,48,6.630189429,1.175022481,18.15067472,83.421327,31.25121622,19.7475,25.49935811,11.50371622,459.3265541,67980.33,0,2.8,0,0,85.96945946,3.484350784,5.81
74235_1,D4,CLTHW11002,S1,AgrCons,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,2,1,0,1,64,46,0,26,26,48,6.630189429,1.175022481,18.15067472,83.421327,31.25121622,19.7475,25.49935811,11.50371622,459.3265541,67980.33,0,2.8,0,0,85.96945946,3.484350784,5.65
74340_1,D4,CLTHW11002,S1,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,1,0,1,69,0,0,26,26,48,6.630189429,1.175022481,18.15067472,83.421327,31.26440299,19.75007463,25.50723881,11.51432836,460.688209,61732.22,0,2.6,0,0,86.1230597,3.563479593,5.11
74341_1,D4,CLTHW11002,S1,AgrCons,2016,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,1,0,1,34.5,0,0,26,26,48,6.630189429,1.175022481,18.15067472,83.421327,31.26440299,19.75007463,25.50723881,11.51432836,460.688209,61732.22,0,2.6,0,0,86.1230597,3.563479593,4.98
74344_1,D2,CLTHW11002,S1,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,0,1,181,6,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,31.27053333,19.77733333,25.52393333,11.4932,460.5204667,69078.07,0,2.8,0,0,85.93393333,3.602382488,5.02
74345_1,D2,CLTHW11002,S1,AgrCons,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,2,1,0,1,181,6,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,31.27053333,19.77733333,25.52393333,11.4932,460.5204667,69078.07,0,2.8,0,0,85.93393333,3.602382488,5.02
87662_1,D4,OTRAS,S0,AgrCons,2016,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,0,0,1,41,0,0,17,27,56,6.5409375,1.639947917,14.93588542,58.11372396,30.49910569,19.00747967,24.75329268,11.49162602,434.1986179,53406.43,0,2.4,0,0,86.43235772,3.595166628,4
81785_1,D4,CLTHW11002,S1,AgrCons,2016,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,1,112.75,0,0,26,26,48,6.630189429,1.175022481,18.15067472,83.421327,30.728875,18.533375,24.631125,12.1955,438.4033125,70144.53,0.00625,2.6,0,0,85.080375,4.417190104,3.5
90733_1,D4,CLTHW11002,S0,AgrCons,2016,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,1,0,1,123,0,0,26,26,48,6.630189429,1.175022481,18.15067472,83.421327,30.58346154,19.05792308,24.82069231,11.52553846,440.353,57245.89,0,2.6,0,0,86.23638462,3.653416582,5
15081_1,D4,OTRAS,S0,LabConvTra,2012,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,45,115,0,22,22,56,8.009488409,1.167548805,22.4036886,94.37760732,30.55837838,17.0627027,23.81054054,13.49567568,353.754315,65444.54827,0.032432432,351.2,0.054054054,0,77.81227027,7.181806439,3.7
7959_1,D4,CRIOLLO,S0,LabConvTra,2012,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,115,0,0,30,26,44,7.226527778,9.0025,41.59819444,81.60180556,30.15652174,17.81956522,23.98804348,12.33695652,377.7645845,69508.68356,0.005434783,2383.4,0.39673913,0,74.30880435,9.614299669,2.8
