# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"DEKAL"	"S0"	"AgrCons"	1	0	1	1	1	1	0	3	2	114.539391451059	157.492839649618	88.5604048962705	4.49020138095238
2	"P4082W"	"S0"	"LabConvTra"	3	1	3	0	0	2	2	1	3	214.640767176561	151.63020800387	110.660148505121	4.38071971428571
3	"P4082W"	"S0"	"LabConvTra"	4	0	1	0	3	1	1	0	2	215.128199162344	160.498003440406	51.6740771359764	4.33781638095238
4	"P4082W"	"S0"	"AgrCons"	4	0	3	0	0	1	2	1	2	1.63048957634717	135.823538846956	28.9791252580471	4.30386066666667
5	"OTRAS"	"S1"	"LabConvTra"	0	1	0	1	1	2	1	2	3	29.9182697448973	45.9896428687032	103.453763038851	3.65118485714286
6	"DEKAL"	"S0"	"AgrCons"	1	0	1	1	1	1	0	3	2	114.539391451059	157.492839649618	88.5604048962705	4.49020138095238
7	"DEKAL"	"S0"	"AgrCons"	1	0	1	1	1	1	0	3	2	114.539391451059	157.492839649618	88.5604048962705	4.49020138095238
8	"DEKAL"	"S0"	"AgrCons"	1	0	1	1	1	1	0	3	2	114.539391451059	157.492839649618	88.5604048962705	4.49020138095238
9	"DEKAL"	"S0"	"AgrCons"	1	1	3	1	1	0	2	3	2	214.640767176561	157.492839649618	41.733726428356	4.52570404761904
10	"DEKAL"	"S0"	"LabConvTra"	1	1	3	0	1	2	0	3	2	214.640767176561	81.1704032182228	41.733726428356	4.53980404761904
11	"DEKAL"	"S0"	"AgrCons"	4	0	3	1	1	1	0	3	2	214.640767176561	157.492839649618	41.733726428356	4.56993238095237
12	"DEKAL"	"S0"	"AgrCons"	4	0	3	1	1	1	0	3	2	214.640767176561	157.492839649618	41.733726428356	4.56993238095237
13	"DEKAL"	"S0"	"AgrCons"	4	0	3	1	1	1	0	3	2	214.640767176561	157.492839649618	41.733726428356	4.56993238095237
14	"DEKAL"	"S0"	"AgrCons"	1	0	3	1	1	1	0	3	2	214.640767176561	157.492839649618	41.733726428356	4.57603238095237
15	"DEKAL"	"S0"	"AgrCons"	1	0	3	1	1	1	0	3	2	214.640767176561	157.492839649618	41.733726428356	4.57603238095237
16	"DEKAL"	"S0"	"AgrCons"	1	0	3	1	1	1	0	3	2	214.640767176561	157.492839649618	41.733726428356	4.57603238095237
17	"DEKAL"	"S0"	"AgrCons"	1	0	3	1	2	0	0	3	2	89.9555435275659	157.492839649618	41.733726428356	4.59078071428571
18	"DEKAL"	"S0"	"AgrCons"	1	0	3	1	2	0	0	3	2	89.9555435275659	157.492839649618	41.733726428356	4.59078071428571
19	"DEKAL"	"S0"	"AgrCons"	1	0	3	1	2	0	0	3	2	89.9555435275659	157.492839649618	41.733726428356	4.59078071428571
20	"DEKAL"	"S0"	"AgrCons"	1	0	3	1	2	0	0	3	2	89.9555435275659	157.492839649618	41.733726428356	4.59078071428571
21	"DEKAL"	"S0"	"LabConvTra"	1	0	3	1	2	1	0	3	2	89.9555435275659	157.492839649618	41.733726428356	4.59639404761904
22	"DEKAL"	"S0"	"LabConvTra"	1	0	3	1	2	1	0	3	2	89.9555435275659	157.492839649618	41.733726428356	4.59639404761904
23	"DEKAL"	"S0"	"LabConvTra"	1	0	3	1	2	1	0	3	2	89.9555435275659	157.492839649618	41.733726428356	4.59639404761904
24	"DEKAL"	"S0"	"LabConvTra"	1	0	3	1	2	1	0	3	2	89.9555435275659	157.492839649618	41.733726428356	4.59639404761904
25	"DEKAL"	"S0"	"LabConvTra"	1	0	3	1	2	1	0	3	2	89.9555435275659	157.492839649618	41.733726428356	4.59639404761904
26	"DEKAL"	"S0"	"LabConvTra"	1	0	3	1	2	1	0	3	2	89.9555435275659	157.492839649618	41.733726428356	4.59639404761904
27	"DEKAL"	"S0"	"LabConvTra"	1	0	3	1	2	1	0	2	2	89.9555435275659	157.492839649618	41.733726428356	4.62130004761904
28	"DEKAL"	"S0"	"LabConvTra"	1	0	3	1	2	1	0	2	2	89.9555435275659	157.492839649618	41.733726428356	4.62130004761904
29	"DEKAL"	"S0"	"LabConvTra"	1	0	3	1	2	1	0	2	2	89.9555435275659	157.492839649618	41.733726428356	4.62130004761904
30	"DEKAL"	"S0"	"LabConvTra"	1	0	3	1	2	1	0	2	2	89.9555435275659	157.492839649618	41.733726428356	4.62130004761904
