"Infiltration","Cultivar","Seed_treatment","Tillage_type","Numb_weeding","Numb_postHarv_herb","Numb_rastreo","Numb_preSow_herb","Numb_fertilizations","Numb_applic_foliar","Numb_applic_biofer","Num_postSow_herb","Numb_insecticides","Total_nitrogen","Total_phosphorus","Total_potassium","Clay","Silt","OM","CEC","Basis_saturation","Avg_min_temp","Avg_diurn_range","Acc_sol_energy","Freq_days_maxTemp_34","Acc_precipitation","Freq_days_minTemp_8","Avg_relative_humidiy","SD_relative_humidiy","Yield"
"D4","OTRAS","S1","LabCeroMin",0,0,1,1,2,0,1,3,2,187.6653,0,0,28,20,0.820993804,16.16617467,76.60158586,19.39888889,11.53847953,76817.73,0,2.8,0,85.85602339,3.655242083,7
"D2","OTRAS","S0","AgrCons",0,0,0,1,2,0,0,1,1,101.68,0,0,44,20,1.019558155,32.35618467,91.24216594,19.07682796,11.87806452,83266.59,0,2.8,0,85.44317204,3.832182519,6.2
"D4","OTRAS","S0","LabConvTra",0,0,1,1,2,0,1,2,1,147,23,0,28,20,0.820993804,16.16617467,76.60158586,19.50568729,11.36212041,69145.69572,0.018518519,598.59,0,81.15268238,4.657266545,2
"D2","OTRAS","S0","LabConvTra",0,0,0,1,3,0,0,1,1,148.9,46,30,44,20,1.019558155,32.35618467,91.24216594,14.484,10.42685714,83290.96,0,561.1,0,82.87371429,4.986175305,3.2
"D2","OTRAS","S0","LabCeroMin",0,0,0,1,3,0,0,1,1,148.9,46,30,44,20,1.019558155,32.35618467,91.24216594,14.484,10.42685714,83290.96,0,561.1,0,82.87371429,4.986175305,3.5
"D4","OTRAS","S1","AgrCons",0,0,0,0,2,0,1,3,0,112.75,0,0,26,26,1.175022481,18.15067472,83.421327,18.533375,12.1955,70144.53,0.00625,2.6,0,85.080375,4.417190104,0.02
"D4","OTRAS","S1","LabConvTra",0,0,0,1,2,0,0,2,2,76.75,0,48,17,27,1.639947917,14.93588542,58.11372396,19.79744828,11.51006897,66731.66,0,2.8,0,86.00324138,3.525871816,5.32
"D4","OTRAS","S1","AgrCons",0,0,0,1,2,0,1,2,2,87,46,0,17,27,1.639947917,14.93588542,58.11372396,19.79680556,11.49895833,66223.05,0,2.8,0,86.046875,3.498672969,6.09
"D4","OTRAS","S1","LabConvTra",0,0,0,1,2,0,0,2,1,120.25,0,0,26,26,1.175022481,18.15067472,83.421327,19.7475,11.50371622,67980.33,0,2.8,0,85.96945946,3.484350784,5.81
"D4","OTRAS","S1","AgrCons",0,0,0,1,2,0,1,2,1,64,46,0,26,26,1.175022481,18.15067472,83.421327,19.7475,11.50371622,67980.33,0,2.8,0,85.96945946,3.484350784,5.65
"D4","OTRAS","S1","LabConvTra",0,0,0,1,2,0,0,3,1,69,0,0,26,26,1.175022481,18.15067472,83.421327,19.75007463,11.51432836,61732.22,0,2.6,0,86.1230597,3.563479593,5.11
"D4","OTRAS","S1","AgrCons",0,0,0,1,1,0,1,3,1,34.5,0,0,26,26,1.175022481,18.15067472,83.421327,19.75007463,11.51432836,61732.22,0,2.6,0,86.1230597,3.563479593,4.98
"D2","OTRAS","S1","LabConvTra",0,0,0,1,2,0,0,2,1,181,6,0,44,20,1.019558155,32.35618467,91.24216594,19.77733333,11.4932,69078.07,0,2.8,0,85.93393333,3.602382488,5.02
"D2","OTRAS","S1","AgrCons",0,0,0,1,2,0,1,2,1,181,6,0,44,20,1.019558155,32.35618467,91.24216594,19.77733333,11.4932,69078.07,0,2.8,0,85.93393333,3.602382488,5.02
"D4","OTRAS","S0","AgrCons",0,0,0,2,2,0,1,1,0,41,0,0,17,27,1.639947917,14.93588542,58.11372396,19.00747967,11.49162602,53406.43,0,2.4,0,86.43235772,3.595166628,4
"D4","OTRAS","S1","AgrCons",0,0,0,0,2,0,1,3,0,112.75,0,0,26,26,1.175022481,18.15067472,83.421327,18.533375,12.1955,70144.53,0.00625,2.6,0,85.080375,4.417190104,3.5
"D4","OTRAS","S0","AgrCons",0,0,0,2,2,0,0,1,1,123,0,0,26,26,1.175022481,18.15067472,83.421327,19.05792308,11.52553846,57245.89,0,2.6,0,86.23638462,3.653416582,5
"D4","OTRAS","S0","LabConvTra",0,0,0,1,1,0,0,1,0,45,115,0,22,22,1.167548805,22.4036886,94.37760732,17.0627027,13.49567568,65444.54827,0.032432432,351.2,0,77.81227027,7.181806439,3.7
"D4","CRIOLLO","S0","LabConvTra",0,0,0,1,1,0,0,1,1,115,0,0,30,26,9.0025,41.59819444,81.60180556,17.81956522,12.33695652,69508.68356,0.005434783,2383.4,0,74.30880435,9.614299669,2.8
"D4","CRIOLLO","S0","AgrCons",0,0,0,1,2,0,0,1,1,184,0,0,30,26,9.0025,41.59819444,81.60180556,17.97486034,12.17765363,67483.61356,0.005586592,2383.4,0,74.67284916,9.476959477,4
"D4","CRIOLLO","S0","LabConvTra",0,0,0,1,1,0,0,1,1,92,0,0,30,26,9.0025,41.59819444,81.60180556,17.61242604,12.57159763,64869.50356,0.00591716,1896,0,73.78715976,9.741766193,2
"D4","CRIOLLO","S0","AgrCons",0,0,0,1,2,1,0,1,1,115,0,0,30,26,9.0025,41.59819444,81.60180556,18.10325086,12.0931876,68233.76227,0.005555556,2508.8,0,74.91444419,9.273234038,3.5
"D4","CRIOLLO","S0","LabCeroMin",0,0,0,1,1,1,0,1,0,50.3647,0.08,0.06,22,22,1.167548805,22.4036886,94.37760732,18.47178513,9.561283824,48932.52038,0,1550.2,0,82.68842678,4.128907276,2.2
"D4","CRIOLLO","S0","LabConvTra",1,0,0,1,1,0,0,1,0,24,24,24,21,25,0.971386385,19.30618019,85.36964401,17.18205128,13.37487179,68502.34827,0.030769231,402.4,0,77.97933333,7.194503419,4
"D4","CRIOLLO","S1","LabCeroMin",0,0,0,1,1,0,0,2,1,92,0,0,29,22,2.958520648,27.59935301,84.78686529,18.69902315,8.981259198,48205.76964,0,1501.8,0,88.25325139,6.985407924,0.9
"D4","CRIOLLO","S1","LabCeroMin",0,0,0,1,2,0,0,1,3,161,0,0,29,22,2.958520648,27.59935301,84.78686529,18.69902315,8.981259198,48205.76964,0,1501.8,0,88.25325139,6.985407924,1.5
"D4","CRIOLLO","S0","LabCeroMin",0,0,0,1,2,0,0,2,3,193,23,0,29,22,2.958520648,27.59935301,84.78686529,18.55895425,8.910473355,59752.50396,0,2005.4,0,88.11036962,6.712825248,1.3
"D4","CRIOLLO","S0","LabConvTra",1,0,0,1,1,0,0,0,1,63,17,17,29,22,2.958520648,27.59935301,84.78686529,14.91282051,10.37051282,75322.73,0,607.3,0,82.99596154,5.187780155,3
"D4","CRIOLLO","S0","LabConvTra",0,1,0,1,2,1,0,1,1,184,0.225,0.24,29,18,0.967090278,16.73567361,84.83472222,14.30883978,10.64585635,86258.55,0,552.1,0,82.62364641,5.023691313,3.7
"D3","CRIOLLO","S1","LabCeroMin",0,0,0,1,2,0,0,1,1,138,0,0,5,12,0.266354167,4.31,75.955,19.83329412,10.18152941,69610.42,0.017647059,296.86,0,80.07676471,4.27201276,3.5
"D4","CRIOLLO","S0","LabConvTra",0,1,0,1,2,1,0,1,1,138,0.225,0.24,29,18,0.967090278,16.73567361,84.83472222,14.23965517,10.65402299,83078.44,0,544.7,0,82.63114943,5.096197024,2.9
"D3","CRIOLLO","S1","LabConvTra",0,0,1,0,2,0,0,2,1,161,0,0,5,12,0.266354167,4.31,75.955,20.12368421,9.980921053,63015.33,0.019736842,272.86,0,80.39756579,4.265855348,3.5
"D4","CRIOLLO","S0","LabConvTra",0,1,0,1,2,0,0,1,1,92,0,0,16,17,0.837641723,8.636989795,70.3473167,14.29770115,10.61149425,83010.29,0,544.7,0,82.67931034,5.073583471,2.1
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,1,1,138,0,0,29,18,0.967090278,16.73567361,84.83472222,14.12469136,10.75555556,77374.12,0,492.6,0,82.58969136,5.170784078,2.3
"D4","CRIOLLO","S0","LabConvTra",0,1,0,1,2,0,0,1,1,138,0,0,29,18,0.967090278,16.73567361,84.83472222,14.26306818,10.67613636,84037.17,0,546,0,82.62625,5.086692063,2.4
"D2","CRIOLLO","S0","LabConvTra",1,0,0,0,1,0,0,1,0,115,0,0,44,20,1.019558155,32.35618467,91.24216594,14.51497585,10.81884058,98166.79,0,724.5,0,82.27922705,5.375858963,1.8
"D2","CRIOLLO","S0","LabConvTra",0,0,0,0,1,0,0,1,0,115,0,0,44,20,1.019558155,32.35618467,91.24216594,14.23142857,10.664,83616.01,0,544.7,0,82.60754286,5.09111839,1.8
"D4","CRIOLLO","S0","LabConvTra",0,0,0,0,1,0,0,1,0,115,0,0,36,22,4.615736459,38.17437609,89.12754397,14.47912621,10.77572816,97667.16,0,702.3,0,82.35597087,5.280153987,1.8
"D3","CRIOLLO","S0","LabConvTra",0,0,0,0,1,0,0,1,0,115,0,0,49,21,1.839676435,17.86984127,61.47150794,14.6921875,10.5640625,91042.53,0,702.3,0,82.63421875,5.298156097,1.8
"D3","CRIOLLO","S0","LabConvTra",0,0,0,0,1,0,0,1,0,115,0,0,49,21,1.839676435,17.86984127,61.47150794,14.56461538,10.61538462,92403.74,0,688.4,0,82.59030769,5.248253996,1.8
"D4","CRIOLLO","S1","LabConvTra",0,0,0,1,1,0,0,1,0,92,0,0,28,20,0.820993804,16.16617467,76.60158586,14.56791667,11.03583333,113923.73,0,788.5,0,81.52658333,6.012772667,1.5
"D4","CRIOLLO","S0","LabConvTra",0,0,0,1,1,0,0,1,0,92,0,0,28,20,0.820993804,16.16617467,76.60158586,14.58016194,11.08744939,117224.6,0,826.7,0,81.51246964,5.930215654,1.5
"D4","CRIOLLO","S0","LabConvTra",0,0,0,1,1,0,0,2,1,92,0,0,28,20,0.820993804,16.16617467,76.60158586,14.56791667,11.03583333,113923.73,0,788.5,0,81.52658333,6.012772667,1.5
